   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   17400 -4.36841353E-05  1.04633676E-06  1.36740761E-01  1.36741043E-01  2.73908959E-03
   17500  4.12057418E-05  7.28520209E-05  1.36890616E-01  1.36891419E-01  2.53138943E-03
   17600  1.94860637E-05 -1.16242610E-04  1.36823381E-01  1.36823908E-01  2.59979209E-03
   17700  4.41481672E-05  8.03814029E-05  1.37030024E-01  1.37030254E-01  2.29729799E-03
   17800  3.43087647E-05  1.39070889E-05  1.36883013E-01  1.36883266E-01  2.59116630E-03
   17900  1.41028918E-04  1.47055096E-04  1.36877335E-01  1.36878049E-01  2.40498887E-03
   18000 -3.27606051E-06  9.88829472E-05  1.36706526E-01  1.36707123E-01  2.78211964E-03
   18100 -5.15403340E-05  7.47019424E-07  1.36857793E-01  1.36858101E-01  2.59060937E-03
   18200  8.63059098E-07 -5.54539465E-05  1.36701341E-01  1.36701687E-01  2.69190938E-03
   18300  1.53334286E-04 -9.06252346E-05  1.36733862E-01  1.36734537E-01  2.69666270E-03
   18400 -1.08235317E-04  1.26137490E-04  1.36903271E-01  1.36904387E-01  2.66409239E-03
   18500  6.60128439E-05  1.43663675E-05  1.36661705E-01  1.36662502E-01  2.45617571E-03
   18600  2.87771740E-04 -9.08893247E-05  1.36716431E-01  1.36717129E-01  2.75725144E-03
   18700  3.18553621E-05 -1.15679802E-04  1.36665656E-01  1.36665877E-01  2.64526409E-03
   18800 -5.36967791E-05  3.21119215E-05  1.37068117E-01  1.37068317E-01  2.55350253E-03
   18900 -1.33984208E-04 -7.61512140E-05  1.36736432E-01  1.36737164E-01  2.73011876E-03
   19000 -7.64619762E-05  7.18255813E-05  1.36736875E-01  1.36737260E-01  2.57031314E-03
   19100 -9.53460030E-05 -4.09435271E-05  1.36930578E-01  1.36931006E-01  2.63365321E-03
   19200  1.16506909E-05  9.28641922E-05  1.36960702E-01  1.36961259E-01  2.48005277E-03
   19300  2.08235649E-05  8.04814182E-05  1.36737613E-01  1.36737835E-01  2.70086736E-03
   19400  1.52700435E-04 -2.63585673E-05  1.36807791E-01  1.36808163E-01  2.45678469E-03
   19500 -5.47978215E-06 -1.46120036E-04  1.36908646E-01  1.36908921E-01  2.61988074E-03
   19600 -1.30405888E-04 -8.28112704E-05  1.36673346E-01  1.36674030E-01  2.64650100E-03
   19700  6.99725839E-05 -4.44325858E-05  1.36529463E-01  1.36530069E-01  2.59819210E-03
   19800  9.16168079E-06 -1.50073772E-05  1.36779303E-01  1.36779738E-01  2.67572929E-03
   19900 -1.63643505E-04  9.61391712E-05  1.37025662E-01  1.37026081E-01  2.59396677E-03
   20000 -6.32467389E-06 -1.42078144E-04  1.36897398E-01  1.36897731E-01  2.54521908E-03
   20100 -8.82504307E-05 -1.40559879E-04  1.36887812E-01  1.36888407E-01  2.66103836E-03
